20 July 2024 18:00,chemistry - 1.1 to 1.4 - now
20 July 2024 19:00,chemistry - 1.1 to 1.4 - 1 hour
20 July 2024 20:00,physics - 1.1 to 1.12 - now
21 July 2024 18:00,physics - 1.1 to 1.12 - 1 hour
21 July 2024 19:00,chemistry - 1.1 to 1.4 - 1 day
21 July 2024 20:00,biology - 1.1 to 1.6 - now
22 July 2024 18:00,physics - 1.1 to 1.12 - 1 day
22 July 2024 19:00,biology - 1.1 to 1.6 - 1 hour
22 July 2024 20:00,spanish - Section 1 pages 1-4(do vocab list) - now
23 July 2024 18:00,spanish - Section 1 pages 1-4(do vocab list) - 1 hour
23 July 2024 19:00,biology - 1.1 to 1.6 - 1 day
23 July 2024 20:00,chemistry - 1.4 to 1.7 - now
24 July 2024 09:00,chemistry - 1.4 to 1.7 - 1 hour
24 July 2024 10:00,physics - 1.13 to 1.17 - now
24 July 2024 11:00,physics - 1.13 to 1.17 - 1 hour
24 July 2024 13:00,biology - 1.7 to 1.12 - now
24 July 2024 14:00,biology - 1.7 to 1.12 - 1 hour
24 July 2024 15:00,spanish - Section 1 pages 4-10(do vocab list) - now
24 July 2024 16:00,spanish - Section 1 pages 4-10(do vocab list) - 1 hour
25 July 2024 09:00,spanish - Section 1 pages 1-4(do vocab list) - 1 day
25 July 2024 10:00,chemistry - 1.4 to 1.7 - 1 day
25 July 2024 11:00,physics - 1.13 to 1.17 - 1 day
25 July 2024 13:00,chemistry - 1.7 to 1.10 - now
25 July 2024 14:00,biology - 1.7 to 1.12 - 1 day
25 July 2024 15:00,chemistry - 1.7 to 1.10 - 1 hour
25 July 2024 16:00,spanish - Section 1 pages 4-10(do vocab list) - 1 day
26 July 2024 09:00,physics - 2.1 to 2.7 - now
26 July 2024 10:00,physics - 2.1 to 2.7 - 1 hour
26 July 2024 11:00,biology - 1.13 to 1.17 - now
26 July 2024 13:00,biology - 1.13 to 1.17 - 1 hour
26 July 2024 14:00,spanish - Section 2 pages 11 to 13(do vocab list) - now
26 July 2024 15:00,chemistry - 1.7 to 1.10 - 1 day
26 July 2024 16:00,spanish - Section 2 pages 11 to 13(do vocab list) - 1 hour
27 July 2024 09:00,chemistry - 1.11 to 1.12 - now
27 July 2024 10:00,physics - 2.1 to 2.7 - 1 day
27 July 2024 11:00,chemistry - 1.11 to 1.12 - 1 hour
27 July 2024 13:00,biology - 1.13 to 1.17 - 1 day
27 July 2024 14:00,physics - 2.8 to 2.13 - now
27 July 2024 15:00,physics - 2.8 to 2.13 - 1 hour
27 July 2024 16:00,spanish - Section 2 pages 11 to 13(do vocab list) - 1 day
28 July 2024 13:00,chemistry - 1.11 to 1.12 - 1 day
28 July 2024 14:00,biology - 2.1 to 2.6 - now
28 July 2024 15:00,physics - 2.8 to 2.13 - 1 day
28 July 2024 16:00,biology - 2.1 to 2.6 - 1 hour
29 July 2024 09:00,chemistry - 1.1 to 1.4 - 1 week
29 July 2024 10:00,spanish - Section 2 pages 13 to 16(do vocab list) - now
29 July 2024 11:00,spanish - Section 2 pages 13 to 16(do vocab list) - 1 hour
29 July 2024 13:00,chemistry - 2.1 to 2.3 - now
29 July 2024 14:00,chemistry - 2.1 to 2.3 - 1 hour
29 July 2024 15:00,physics - 3.1 to 3.5 - now
29 July 2024 16:00,biology - 2.1 to 2.6 - 1 day
30 July 2024 09:00,physics - 1.1 to 1.12 - 1 week
30 July 2024 10:00,physics - 3.1 to 3.5 - 1 hour
30 July 2024 11:00,spanish - Section 2 pages 13 to 16(do vocab list) - 1 day
30 July 2024 13:00,biology - 2.7 to 2.12 - now
30 July 2024 14:00,chemistry - 2.1 to 2.3 - 1 day
30 July 2024 15:00,biology - 2.7 to 2.12 - 1 hour
30 July 2024 16:00,spanish - section 3 pages 17 to 19(do vocab list) - now
31 July 2024 09:00,biology - 1.1 to 1.6 - 1 week
31 July 2024 10:00,physics - 3.1 to 3.5 - 1 day
31 July 2024 11:00,spanish - section 3 pages 17 to 19(do vocab list) - 1 hour
31 July 2024 13:00,chemistry - 2.4 to 2.6 - now
31 July 2024 14:00,chemistry - 2.4 to 2.6 - 1 hour
31 July 2024 15:00,biology - 2.7 to 2.12 - 1 day
31 July 2024 16:00,physics - 4.1 to 4.6 - now
01 August 2024 09:00,spanish - Section 1 pages 1-4(do vocab list) - 1 week
01 August 2024 10:00,chemistry - 1.4 to 1.7 - 1 week
01 August 2024 11:00,physics - 1.13 to 1.17 - 1 week
01 August 2024 13:00,spanish - section 3 pages 17 to 19(do vocab list) - 1 day
01 August 2024 14:00,biology - 1.7 to 1.12 - 1 week
01 August 2024 15:00,chemistry - 2.4 to 2.6 - 1 day
01 August 2024 16:00,spanish - Section 1 pages 4-10(do vocab list) - 1 week
02 August 2024 09:00,physics - 4.1 to 4.6 - 1 hour
02 August 2024 10:00,biology - 2.13 to 2.18 - now
02 August 2024 11:00,biology - 2.13 to 2.18 - 1 hour
02 August 2024 13:00,spanish - Section 3 pages 19 to 22(do vocab list) - now
02 August 2024 14:00,spanish - Section 3 pages 19 to 22(do vocab list) - 1 hour
02 August 2024 15:00,chemistry - 1.7 to 1.10 - 1 week
02 August 2024 16:00,chemistry - 2.7 to 2.9 - now
03 August 2024 09:00,physics - 4.1 to 4.6 - 1 day
03 August 2024 10:00,physics - 2.1 to 2.7 - 1 week
03 August 2024 11:00,biology - 2.13 to 2.18 - 1 day
03 August 2024 13:00,biology - 1.13 to 1.17 - 1 week
03 August 2024 14:00,spanish - Section 3 pages 19 to 22(do vocab list) - 1 day
03 August 2024 15:00,chemistry - 2.7 to 2.9 - 1 hour
03 August 2024 16:00,spanish - Section 2 pages 11 to 13(do vocab list) - 1 week
04 August 2024 13:00,chemistry - 1.11 to 1.12 - 1 week
04 August 2024 14:00,physics - 4.7 to 4.9 - now
04 August 2024 15:00,physics - 2.8 to 2.13 - 1 week
04 August 2024 16:00,chemistry - 2.7 to 2.9 - 1 day
05 August 2024 09:00,physics - 4.7 to 4.9 - 1 hour
05 August 2024 10:00,biology - 3.1 to 3.8 - now
05 August 2024 11:00,biology - 3.1 to 3.8 - 1 hour
05 August 2024 13:00,spanish - Section 4 pages 24 to 27(do vocab list) - now
05 August 2024 14:00,spanish - Section 4 pages 24 to 27(do vocab list) - 1 hour
05 August 2024 15:00,chemistry - 2.10 to 2.11 - now
05 August 2024 16:00,biology - 2.1 to 2.6 - 1 week
06 August 2024 09:00,physics - 4.7 to 4.9 - 1 day
06 August 2024 10:00,chemistry - 2.10 to 2.11 - 1 hour
06 August 2024 11:00,spanish - Section 2 pages 13 to 16(do vocab list) - 1 week
06 August 2024 13:00,biology - 3.1 to 3.8 - 1 day
06 August 2024 14:00,chemistry - 2.1 to 2.3 - 1 week
06 August 2024 15:00,spanish - Section 4 pages 24 to 27(do vocab list) - 1 day
06 August 2024 16:00,physics - 5.1 to 5.6 - now
07 August 2024 09:00,physics - 5.1 to 5.6 - 1 hour
07 August 2024 10:00,physics - 3.1 to 3.5 - 1 week
07 August 2024 11:00,chemistry - 2.10 to 2.11 - 1 day
07 August 2024 13:00,biology - 3.9 to 3.11 - now
07 August 2024 14:00,biology - 3.9 to 3.11 - 1 hour
07 August 2024 15:00,biology - 2.7 to 2.12 - 1 week
07 August 2024 16:00,spanish - section 5 pages 28(do vocab list) - now
08 August 2024 09:00,physics - 5.1 to 5.6 - 1 day
08 August 2024 10:00,spanish - section 5 pages 28(do vocab list) - 1 hour
08 August 2024 11:00,chemistry - 3.1 to 3.6 - now
08 August 2024 13:00,spanish - section 3 pages 17 to 19(do vocab list) - 1 week
08 August 2024 14:00,biology - 3.9 to 3.11 - 1 day
08 August 2024 15:00,chemistry - 2.4 to 2.6 - 1 week
08 August 2024 16:00,chemistry - 3.1 to 3.6 - 1 hour
09 August 2024 09:00,physics - 5.7 to 5.11 - now
09 August 2024 10:00,spanish - section 5 pages 28(do vocab list) - 1 day
09 August 2024 11:00,physics - 5.7 to 5.11 - 1 hour
09 August 2024 13:00,biology - 4.1 to 4.4 - now
09 August 2024 14:00,biology - 4.1 to 4.4 - 1 hour
09 August 2024 15:00,spanish - Section 6 pages 31 to 34(do vocab list) - now
09 August 2024 16:00,chemistry - 3.1 to 3.6 - 1 day
10 August 2024 09:00,physics - 4.1 to 4.6 - 1 week
10 August 2024 10:00,spanish - Section 6 pages 31 to 34(do vocab list) - 1 hour
10 August 2024 11:00,biology - 2.13 to 2.18 - 1 week
10 August 2024 13:00,physics - 5.7 to 5.11 - 1 day
10 August 2024 14:00,spanish - Section 3 pages 19 to 22(do vocab list) - 1 week
10 August 2024 15:00,biology - 4.1 to 4.4 - 1 day
10 August 2024 16:00,chemistry - 3.7 to 3.9 - now
11 August 2024 13:00,spanish - Section 6 pages 31 to 34(do vocab list) - 1 day
11 August 2024 14:00,chemistry - 3.7 to 3.9 - 1 hour
11 August 2024 15:00,physics - 5.12 to 5.16 - now
11 August 2024 16:00,chemistry - 2.7 to 2.9 - 1 week
12 August 2024 09:00,physics - 5.12 to 5.16 - 1 hour
12 August 2024 10:00,biology - 5.1 to 5.6 - now
12 August 2024 11:00,biology - 5.1 to 5.6 - 1 hour
12 August 2024 13:00,spanish - Section 6 pages 34 to 38(do vocab list) - now
12 August 2024 14:00,chemistry - 3.7 to 3.9 - 1 day
12 August 2024 15:00,spanish - Section 6 pages 34 to 38(do vocab list) - 1 hour
12 August 2024 16:00,chemistry - 4.1 to 4.5 - now
13 August 2024 09:00,physics - 4.7 to 4.9 - 1 week
13 August 2024 10:00,physics - 5.12 to 5.16 - 1 day
13 August 2024 11:00,biology - 5.1 to 5.6 - 1 day
13 August 2024 13:00,biology - 3.1 to 3.8 - 1 week
13 August 2024 14:00,chemistry - 4.1 to 4.5 - 1 hour
13 August 2024 15:00,spanish - Section 4 pages 24 to 27(do vocab list) - 1 week
13 August 2024 16:00,spanish - Section 6 pages 34 to 38(do vocab list) - 1 day
14 August 2024 09:00,physics - 5.17 to 5.19 - now
14 August 2024 10:00,physics - 5.17 to 5.19 - 1 hour
14 August 2024 11:00,chemistry - 2.10 to 2.11 - 1 week
14 August 2024 13:00,biology - 5.7 to 5.12 - now
14 August 2024 14:00,chemistry - 4.1 to 4.5 - 1 day
14 August 2024 15:00,biology - 5.7 to 5.12 - 1 hour
14 August 2024 16:00,spanish - Section 7 pages 39 to 41(do vocab list) - now
15 August 2024 09:00,physics - 5.1 to 5.6 - 1 week
15 August 2024 10:00,physics - 5.17 to 5.19 - 1 day
15 August 2024 11:00,spanish - Section 7 pages 39 to 41(do vocab list) - 1 hour
15 August 2024 13:00,chemistry - 4.6 to 4.10 - now
15 August 2024 14:00,biology - 3.9 to 3.11 - 1 week
15 August 2024 15:00,biology - 5.7 to 5.12 - 1 day
15 August 2024 16:00,chemistry - 4.6 to 4.10 - 1 hour
16 August 2024 09:00,physics - 5.20 to 5.21 - now
16 August 2024 10:00,spanish - section 5 pages 28(do vocab list) - 1 week
16 August 2024 11:00,spanish - Section 7 pages 39 to 41(do vocab list) - 1 day
16 August 2024 13:00,physics - 5.20 to 5.21 - 1 hour
16 August 2024 14:00,biology - 5.13 to 5.18 - now
16 August 2024 15:00,biology - 5.13 to 5.18 - 1 hour
16 August 2024 16:00,chemistry - 3.1 to 3.6 - 1 week
17 August 2024 09:00,chemistry - 4.6 to 4.10 - 1 day
17 August 2024 10:00,spanish - Section 8 pages 42 to 46 (do vocab list) - now
17 August 2024 11:00,spanish - Section 8 pages 42 to 46 (do vocab list) - 1 hour
17 August 2024 13:00,physics - 5.7 to 5.11 - 1 week
17 August 2024 14:00,physics - 5.20 to 5.21 - 1 day
17 August 2024 15:00,biology - 4.1 to 4.4 - 1 week
17 August 2024 16:00,biology - 5.13 to 5.18 - 1 day
18 August 2024 13:00,spanish - Section 6 pages 31 to 34(do vocab list) - 1 week
18 August 2024 14:00,spanish - Section 8 pages 42 to 46 (do vocab list) - 1 day
18 August 2024 15:00,chemistry - 5.1 to 5.4 - now
18 August 2024 16:00,chemistry - 5.1 to 5.4 - 1 hour
19 August 2024 09:00,physics - 6.1 to 6.2 - now
19 August 2024 10:00,physics - 6.1 to 6.2 - 1 hour
19 August 2024 11:00,biology - 6.1 to 6.8 - now
19 August 2024 13:00,biology - 6.1 to 6.8 - 1 hour
19 August 2024 14:00,chemistry - 3.7 to 3.9 - 1 week
19 August 2024 15:00,spanish - Section 9 pages 47 to 49 (do vocab list) - now
19 August 2024 16:00,chemistry - 5.1 to 5.4 - 1 day
20 August 2024 09:00,spanish - Section 9 pages 47 to 49 (do vocab list) - 1 hour
20 August 2024 10:00,physics - 5.12 to 5.16 - 1 week
20 August 2024 11:00,biology - 5.1 to 5.6 - 1 week
20 August 2024 13:00,physics - 6.1 to 6.2 - 1 day
20 August 2024 14:00,biology - 6.1 to 6.8 - 1 day
20 August 2024 15:00,chemistry - 6.1 to 6.4 - now
20 August 2024 16:00,spanish - Section 6 pages 34 to 38(do vocab list) - 1 week
21 August 2024 09:00,spanish - Section 9 pages 47 to 49 (do vocab list) - 1 day
21 August 2024 10:00,chemistry - 6.1 to 6.4 - 1 hour
21 August 2024 11:00,physics - 6.3 to 6.5 - now
21 August 2024 13:00,physics - 6.3 to 6.5 - 1 hour
21 August 2024 14:00,chemistry - 4.1 to 4.5 - 1 week
21 August 2024 15:00,biology - 6.9 to 6.16 - now
21 August 2024 16:00,biology - 6.9 to 6.16 - 1 hour
22 August 2024 09:00,spanish - Section 9 [ages 49 to 51 (do vocab list) - now
22 August 2024 10:00,physics - 5.17 to 5.19 - 1 week
22 August 2024 11:00,chemistry - 6.1 to 6.4 - 1 day
22 August 2024 13:00,physics - 6.3 to 6.5 - 1 day
22 August 2024 14:00,spanish - Section 9 [ages 49 to 51 (do vocab list) - 1 hour
22 August 2024 15:00,biology - 5.7 to 5.12 - 1 week
22 August 2024 16:00,biology - 6.9 to 6.16 - 1 day
23 August 2024 09:00,chemistry - 6.5 - now
23 August 2024 10:00,chemistry - 6.5 - 1 hour
23 August 2024 11:00,spanish - Section 7 pages 39 to 41(do vocab list) - 1 week
23 August 2024 13:00,physics - 6.6 to 6.8 - now
23 August 2024 14:00,spanish - Section 9 [ages 49 to 51 (do vocab list) - 1 day
23 August 2024 15:00,physics - 6.6 to 6.8 - 1 hour
23 August 2024 16:00,biology - 6.17 to 6.23 - now
24 August 2024 09:00,chemistry - 4.6 to 4.10 - 1 week
24 August 2024 10:00,chemistry - 6.5 - 1 day
24 August 2024 11:00,biology - 6.17 to 6.23 - 1 hour
24 August 2024 13:00,spanish - Section 10 pages 52 to 55 (do vocab list) - now
24 August 2024 14:00,physics - 5.20 to 5.21 - 1 week
24 August 2024 15:00,physics - 6.6 to 6.8 - 1 day
24 August 2024 16:00,biology - 5.13 to 5.18 - 1 week
25 August 2024 13:00,biology - 6.17 to 6.23 - 1 day
25 August 2024 14:00,spanish - Section 8 pages 42 to 46 (do vocab list) - 1 week
25 August 2024 15:00,spanish - Section 10 pages 52 to 55 (do vocab list) - 1 hour
25 August 2024 16:00,chemistry - 7.1 to 7.7 - now
26 August 2024 09:00,chemistry - 1.1 to 1.4 - 1 month
26 August 2024 10:00,chemistry - 7.1 to 7.7 - 1 hour
26 August 2024 11:00,physics - 6.9 to 6.10 - now
26 August 2024 13:00,physics - 6.9 to 6.10 - 1 hour
26 August 2024 14:00,biology - 7.1 to 7.6 - now
26 August 2024 15:00,spanish - Section 10 pages 52 to 55 (do vocab list) - 1 day
26 August 2024 16:00,chemistry - 5.1 to 5.4 - 1 week
27 August 2024 09:00,physics - 1.1 to 1.12 - 1 month
27 August 2024 10:00,chemistry - 7.1 to 7.7 - 1 day
27 August 2024 11:00,biology - 7.1 to 7.6 - 1 hour
27 August 2024 13:00,physics - 6.1 to 6.2 - 1 week
27 August 2024 14:00,biology - 6.1 to 6.8 - 1 week
27 August 2024 15:00,physics - 6.9 to 6.10 - 1 day
27 August 2024 16:00,spanish - Section 10 pages 55 to 57 (do vocab list) - now
28 August 2024 09:00,biology - 1.1 to 1.6 - 1 month
28 August 2024 10:00,spanish - Section 9 pages 47 to 49 (do vocab list) - 1 week
28 August 2024 11:00,biology - 7.1 to 7.6 - 1 day
28 August 2024 13:00,spanish - Section 10 pages 55 to 57 (do vocab list) - 1 hour
28 August 2024 14:00,chemistry - 7.8 to 7.12 - now
28 August 2024 15:00,chemistry - 7.8 to 7.12 - 1 hour
28 August 2024 16:00,physics - 6.11 to 6.12 - now
29 August 2024 09:00,spanish - Section 1 pages 1-4(do vocab list) - 1 month
29 August 2024 10:00,chemistry - 1.4 to 1.7 - 1 month
29 August 2024 11:00,physics - 1.13 to 1.17 - 1 month
29 August 2024 13:00,chemistry - 6.1 to 6.4 - 1 week
29 August 2024 14:00,biology - 1.7 to 1.12 - 1 month
29 August 2024 15:00,physics - 6.3 to 6.5 - 1 week
29 August 2024 16:00,spanish - Section 1 pages 4-10(do vocab list) - 1 month
30 August 2024 09:00,biology - 6.9 to 6.16 - 1 week
30 August 2024 10:00,spanish - Section 10 pages 55 to 57 (do vocab list) - 1 day
30 August 2024 11:00,chemistry - 7.8 to 7.12 - 1 day
30 August 2024 13:00,physics - 6.11 to 6.12 - 1 hour
30 August 2024 14:00,spanish - Section 9 [ages 49 to 51 (do vocab list) - 1 week
30 August 2024 15:00,chemistry - 1.7 to 1.10 - 1 month
30 August 2024 16:00,biology - 7.7 to 7.12 - now
31 August 2024 09:00,biology - 7.7 to 7.12 - 1 hour
31 August 2024 10:00,physics - 2.1 to 2.7 - 1 month
31 August 2024 11:00,chemistry - 6.5 - 1 week
31 August 2024 13:00,biology - 1.13 to 1.17 - 1 month
31 August 2024 14:00,physics - 6.11 to 6.12 - 1 day
31 August 2024 15:00,physics - 6.6 to 6.8 - 1 week
31 August 2024 16:00,spanish - Section 2 pages 11 to 13(do vocab list) - 1 month
01 September 2024 13:00,chemistry - 1.11 to 1.12 - 1 month
01 September 2024 14:00,biology - 6.17 to 6.23 - 1 week
01 September 2024 15:00,physics - 2.8 to 2.13 - 1 month
01 September 2024 16:00,biology - 7.7 to 7.12 - 1 day
02 September 2024 09:00,spanish - Section 11 pages 58 to 64 (do vocab list) - now
02 September 2024 10:00,spanish - Section 11 pages 58 to 64 (do vocab list) - 1 hour
02 September 2024 11:00,chemistry - 8.1 to 8.4 - now
02 September 2024 13:00,chemistry - 8.1 to 8.4 - 1 hour
02 September 2024 14:00,physics - 6.13 to 6.14 - now
02 September 2024 15:00,spanish - Section 10 pages 52 to 55 (do vocab list) - 1 week
02 September 2024 16:00,biology - 2.1 to 2.6 - 1 month
03 September 2024 09:00,physics - 6.13 to 6.14 - 1 hour
03 September 2024 10:00,chemistry - 7.1 to 7.7 - 1 week
03 September 2024 11:00,spanish - Section 2 pages 13 to 16(do vocab list) - 1 month
03 September 2024 13:00,spanish - Section 11 pages 58 to 64 (do vocab list) - 1 day
03 September 2024 14:00,chemistry - 2.1 to 2.3 - 1 month
03 September 2024 15:00,physics - 6.9 to 6.10 - 1 week
03 September 2024 16:00,chemistry - 8.1 to 8.4 - 1 day
05 September 2024 18:00,physics - 3.1 to 3.5 - 1 month
05 September 2024 19:00,biology - 2.7 to 2.12 - 1 month
05 September 2024 20:00,spanish - section 3 pages 17 to 19(do vocab list) - 1 month
07 September 2024 18:00,chemistry - 2.4 to 2.6 - 1 month
07 September 2024 19:00,physics - 4.1 to 4.6 - 1 month
07 September 2024 20:00,biology - 2.13 to 2.18 - 1 month
08 September 2024 18:00,spanish - Section 3 pages 19 to 22(do vocab list) - 1 month
08 September 2024 19:00,chemistry - 2.7 to 2.9 - 1 month
08 September 2024 20:00,biology - 7.1 to 7.6 - 1 week
09 September 2024 18:00,spanish - Section 10 pages 55 to 57 (do vocab list) - 1 week
09 September 2024 19:00,chemistry - 7.8 to 7.12 - 1 week
09 September 2024 20:00,physics - 6.11 to 6.12 - 1 week
10 September 2024 18:00,physics - 4.7 to 4.9 - 1 month
10 September 2024 19:00,biology - 3.1 to 3.8 - 1 month
10 September 2024 20:00,spanish - Section 4 pages 24 to 27(do vocab list) - 1 month
12 September 2024 18:00,chemistry - 2.10 to 2.11 - 1 month
12 September 2024 19:00,physics - 5.1 to 5.6 - 1 month
12 September 2024 20:00,biology - 3.9 to 3.11 - 1 month
14 September 2024 18:00,spanish - section 5 pages 28(do vocab list) - 1 month
14 September 2024 19:00,chemistry - 3.1 to 3.6 - 1 month
14 September 2024 20:00,physics - 5.7 to 5.11 - 1 month
15 September 2024 18:00,biology - 4.1 to 4.4 - 1 month
15 September 2024 19:00,spanish - Section 6 pages 31 to 34(do vocab list) - 1 month
15 September 2024 20:00,biology - 7.7 to 7.12 - 1 week
16 September 2024 18:00,chemistry - 3.7 to 3.9 - 1 month
16 September 2024 19:00,spanish - Section 11 pages 58 to 64 (do vocab list) - 1 week
16 September 2024 20:00,chemistry - 8.1 to 8.4 - 1 week
17 September 2024 18:00,physics - 5.12 to 5.16 - 1 month
17 September 2024 19:00,biology - 5.1 to 5.6 - 1 month
17 September 2024 20:00,spanish - Section 6 pages 34 to 38(do vocab list) - 1 month
19 September 2024 18:00,chemistry - 4.1 to 4.5 - 1 month
19 September 2024 19:00,physics - 5.17 to 5.19 - 1 month
19 September 2024 20:00,biology - 5.7 to 5.12 - 1 month
21 September 2024 18:00,spanish - Section 7 pages 39 to 41(do vocab list) - 1 month
21 September 2024 19:00,chemistry - 4.6 to 4.10 - 1 month
21 September 2024 20:00,physics - 5.20 to 5.21 - 1 month
22 September 2024 18:00,biology - 5.13 to 5.18 - 1 month
22 September 2024 19:00,spanish - Section 8 pages 42 to 46 (do vocab list) - 1 month
22 September 2024 20:00,physics - 6.13 to 6.14 - 1 day
23 September 2024 18:00,chemistry - 5.1 to 5.4 - 1 month
23 September 2024 19:00,biology - 7.13 to 7.16 - now
23 September 2024 20:00,biology - 7.13 to 7.16 - 1 hour
24 September 2024 18:00,physics - 6.1 to 6.2 - 1 month
24 September 2024 19:00,biology - 6.1 to 6.8 - 1 month
24 September 2024 20:00,biology - 7.13 to 7.16 - 1 day
26 September 2024 18:00,spanish - Section 9 pages 47 to 49 (do vocab list) - 1 month
26 September 2024 19:00,chemistry - 6.1 to 6.4 - 1 month
26 September 2024 20:00,physics - 6.3 to 6.5 - 1 month
28 September 2024 18:00,biology - 6.9 to 6.16 - 1 month
28 September 2024 19:00,spanish - Section 9 [ages 49 to 51 (do vocab list) - 1 month
28 September 2024 20:00,chemistry - 6.5 - 1 month
